label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
0	396 N	0.4514	VANI	guinea pig	2.1813	1104	0.373	199	0.2561	-353
5	-828 N	-0.9531	Reilly	rabbit	0.3433	307	2.3841	-479	-0.6886	1243
3	-1018 N	-0.1648	Inan	reptile	0.6064	1480	-0.0068	2482	-0.0499	-1057
1	680 N	NULL	Andrew	ferret	1.2662	200	1.5489	889	0.6483	1442
4	1569 N	0.4372	Lise	fish	0.8509	615	0.0124	-340	1.4965	2692
4	829 N	0.3884	Lise	fish, chicken	0.6143	305	1.0421	-1712	0.4935	541
2	828 N	-0.0717	Michael	hamster	-0.8048	1493	-0.7751	-852	NULL	-589
3	-491 N	-0.4057	Inan	dog	0.9499	2274	1.2129	803	0.237	-502
3	531 N	-0.4023	Inan	dog	1.9463	937	1.0844	1527	0.77	1079
1	-380 N	-0.3704	Andrew	bird	-0.3254	377	0.5578	86	-1.6024	-207
4	160 N	-1.2197	Lise	fish, cat	-0.4706	-207	1.1547	-1030	2.076	-882
2	1725 N	1.5447	Michael	hamster	1.7739	152	-0.479	-725	-0.1949	-371
4	14 N	0.1677	tony	RAT, CAT, CHICKEN	-0.4542	2132	0.9164	-921	0.2672	-1054
5	994 N	0.1541	Reilly	rabbit	-0.3075	787	0.2131	1535	0.6654	-113
0	537 N	1.0445	Vani	guinea pig	0.578	1129	1.1786	1858	0.2069	-1026
3	239 N	0.7265	Inan	reptile	0.5359	1554	0.3816	1722	1.5546	334
2	None	0.806	Sam	HAMSTER	-0.0642	699	1.1472	-190	-1.427	17
5	1171 N	-0.3308	Reilly	pig	0.7984	630	1.4281	1263	0.0655	155
4	506 N	1.6811	Lise	chicken	-0.2428	-799	1.2164	-66	0.5147	1343
5	-877 N	1.3827	Fabrice	ferret	0.4691	712	0.8617	-940	-0.0923	1073
0	1303 N	1.0977	Vani	pig	0.0731	-53	-0.0949	328	-0.9118	555
5	2 N	0.3786	Reilly	pig	1.0424	605	2.2483	1596	-0.4921	-1365
3	1148 N	1.037	Inan	Dog	-0.8589	831	0.3705	22	0.5167	-253
0	859 N	1.0363	Sam	GUINEA PIG	1.9758	680	-0.8494	442	-0.6194	1066
